,country,Life Satisfaction,Life Satisfaction latest year,Log GDP per capita,Log GDP per capita latest year,Social support,Social support latest year,Healthy life expectancy at birth,Healthy life expectancy at birth latest year,Positive Affect: % of time spent happy,Positive Affect: % of time spent happy latest year,Negative Affect: % of time feeling negative emotions,Negative Affect: % of time feeling negative emotions latest year,Confidence in national government,Confidence in national government latest year,Gini Index: Income Inequality,Gini Index: Income Inequality latest year
91,Mexico,6.5495786670000005,2018.0,9.769919395,2018.0,0.858068883,2018.0,68.30000305,2018.0,0.88171345,2018.0,0.213254362,2018.0,0.294568479,2018.0,0.4698,2018.0
92,Moldova,5.682277203,2018.0,8.592376709,2018.0,0.89207989,2018.0,65.0,2018.0,0.58171463,2018.0,0.27007246,2018.0,0.237631857,2018.0,0.32605882399999997,2018.0
93,Mongolia,5.464622974,2018.0,9.41570282,2018.0,0.9415141340000001,2018.0,62.29999924,2018.0,0.654125035,2018.0,0.191890299,2018.0,0.270371318,2018.0,0.33399999999999996,2018.0
94,Montenegro,5.650189877000001,2018.0,9.732954979,2018.0,0.8559796209999999,2018.0,68.5,2018.0,0.589933157,2018.0,0.354935259,2018.0,0.398499161,2018.0,0.3094,2018.0
95,Morocco,4.896791935,2018.0,8.937397957,2018.0,0.553759754,2018.0,65.90000153,2018.0,0.638049185,2018.0,0.415981561,2018.0,,2018.0,0.40266666700000003,2018.0
96,Mozambique,4.653713703,2018.0,7.039377689,2018.0,0.7384804490000001,2018.0,54.20000076,2018.0,0.639639556,2018.0,0.397278726,2018.0,0.8320379259999999,2018.0,0.48866666700000005,2018.0
97,Myanmar,4.410633087,2018.0,8.685232162,2018.0,0.773825943,2018.0,59.0,2018.0,0.776950598,2018.0,0.300140351,2018.0,0.878752649,2018.0,0.381,2018.0
98,Namibia,4.834087848999999,2018.0,9.15621376,2018.0,0.864214778,2018.0,56.5,2018.0,0.7393869759999999,2018.0,0.240249082,2018.0,0.62446779,2018.0,0.6113333329999999,2018.0
99,Nepal,4.910086632,2018.0,7.851007462,2018.0,0.7683355209999999,2018.0,63.5,2018.0,0.536977708,2018.0,0.386792421,2018.0,0.648398161,2018.0,0.38299999999999995,2018.0
100,Netherlands,7.463097095,2018.0,10.8092041,2018.0,0.939443171,2018.0,72.30000305,2018.0,0.8619766240000001,2018.0,0.20479418300000002,2018.0,0.656541049,2018.0,0.286333333,2018.0
101,New Zealand,7.370285987999999,2018.0,10.50147724,2018.0,0.9538627270000001,2018.0,73.19999695,2018.0,0.8453626040000001,2018.0,0.16795145,2018.0,0.64246124,2018.0,,2018.0
